,Unnamed: 0,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina,full-name
117,117,78,59460000,2014,1,CANCELADO,2014,2,5.1,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
118,118,78,59460000,2014,1,CANCELADO,2015,1,6.3,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
119,119,79,59590000,2014,1,FORMANDO,2014,2,9.4,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
120,120,80,59290000,2014,1,ATIVO,2014,2,7.4,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
121,121,81,59149390,2014,1,CANCELADO,2014,2,7.1,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
122,122,82,59080370,2014,1,CANCELADO,2014,2,0.5,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
123,123,83,59148323,2014,1,ATIVO,2014,2,6.4,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
124,124,83,59148323,2014,1,ATIVO,2015,1,8.2,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
125,125,84,59149150,2014,1,CANCELADO,2014,2,1.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
126,126,84,59149150,2014,1,CANCELADO,2015,1,0.7,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
127,127,84,59149150,2014,1,CANCELADO,2016,1,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
128,128,85,59068720,2014,1,CANCELADO,2014,2,9.2,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
129,129,86,59145810,2014,1,ATIVO,2014,2,6.6,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
130,130,87,59082210,2014,1,ATIVO,2014,2,1.2,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
131,131,87,59082210,2014,1,ATIVO,2015,1,1.5,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
132,132,87,59082210,2014,1,ATIVO,2015,2,5.8,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
133,133,88,59082100,2014,1,CANCELADO,2014,2,1.5,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
134,134,88,59082100,2014,1,CANCELADO,2015,1,6.6,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
135,135,89,59151610,2014,1,TRANCADO,2015,1,8.9,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
136,136,90,59215970,2014,1,ATIVO,2014,2,5.4,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
137,137,91,59200000,2014,1,ATIVO,2016,2,1.8,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
138,138,92,59900000,2014,1,ATIVO,2014,2,8.6,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
139,139,93,59108245,2014,1,ATIVO,2014,2,8.2,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
140,140,94,59080115,2014,1,CANCELADO,2015,2,0.8,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
141,141,95,59132310,2014,1,ATIVO,2014,2,1.5,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
142,142,95,59132310,2014,1,ATIVO,2015,1,6.5,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
143,143,96,59122510,2014,1,CANCELADO,2014,2,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
144,144,97,0,2014,1,CANCELADO,2014,1,1.5,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
145,145,98,59124000,2014,1,ATIVO,2014,2,8.4,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
146,146,99,59190000,2014,1,CANCELADO,2014,2,7.3,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
147,147,100,59110610,2014,1,TRANCADO,2014,2,2.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
148,148,100,59110610,2014,1,TRANCADO,2015,1,6.1,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
149,149,101,58401718,2014,1,ATIVO,2014,2,0.4,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
150,150,101,58401718,2014,1,ATIVO,2015,1,0.4,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
151,151,101,58401718,2014,1,ATIVO,2015,2,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
152,152,101,58401718,2014,1,ATIVO,2016,2,1.9,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
153,153,102,59215000,2014,1,ATIVO,2014,2,6.6,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
154,154,103,59152600,2014,1,ATIVO,2014,2,7.1,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
155,155,104,59064902,2014,1,CANCELADO,2016,1,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
156,156,105,59470000,2014,1,CANCELADO,2014,2,1.4,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
157,157,106,0,2014,1,CANCELADO,2014,2,5.7,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
158,158,107,59012570,2014,1,TRANCADO,2014,2,0.8,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
159,159,107,59012570,2014,1,TRANCADO,2015,1,2.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
160,160,107,59012570,2014,1,TRANCADO,2015,2,8.7,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
161,161,108,59020030,2014,1,ATIVO,2014,2,0.2,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
162,162,108,59020030,2014,1,ATIVO,2015,1,7.4,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
163,163,109,59114660,2014,1,CANCELADO,2014,2,0.3,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
164,164,109,59114660,2014,1,CANCELADO,2015,1,0.1,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
165,165,109,59114660,2014,1,CANCELADO,2015,2,0.4,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
166,166,110,59075190,2014,1,ATIVO,2014,2,7.2,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
167,167,110,59075190,2014,1,ATIVO,2015,1,7.4,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
168,168,111,59056180,2014,1,ATIVO,2014,2,5.2,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
169,169,112,59152070,2014,1,ATIVO,2014,2,3.7,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
170,170,112,59152070,2014,1,ATIVO,2015,1,6.5,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
171,171,113,59090430,2014,1,CANCELADO,2016,1,0.0,0,Reprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
172,172,114,59075810,2014,1,CANCELADO,2014,2,6.9,0,Aprovado,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO
