,a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status.disciplina,enem-matematica,enem-nota,enem-redacao,enen-nota
182,120,59065030,2014,1,ATIVO,2015,1,8.4,0,Aprovado,2110,0,660,651
183,121,59162000,2014,1,ATIVO,2014,2,2.3,0,Reprovado,2171,0,660,643
184,121,59162000,2014,1,ATIVO,2015,1,0.2,0,Reprovado,2171,0,660,643
185,121,59162000,2014,1,ATIVO,2015,2,6,0,Aprovado,2171,0,660,643
186,122,59082370,2014,1,CANCELADO,2014,2,8.7,0,Aprovado,803,0,520,622
187,123,59030180,2014,1,ATIVO,2014,2,10,0,Aprovado,2396,0,860,740
188,124,59070620,2014,1,CANCELADO,2014,2,0,0,Reprovado,2014,0,700,643
189,124,59070620,2014,1,CANCELADO,2015,2,3.3,0,Reprovado,2014,0,700,643
190,124,59070620,2014,1,CANCELADO,2016,1,2.6,0,Reprovado,2014,0,700,643
191,125,59140840,2014,1,ATIVO,2014,2,9.4,0,Aprovado,2139,0,660,658
192,126,59064720,2014,1,CANCELADO,2014,2,0.5,0,Reprovado,1766,0,840,652
193,127,59280000,2014,1,TRANCADO,2014,2,3.9,0,Reprovado,2038,0,640,647
194,127,59280000,2014,1,TRANCADO,2015,1,7.4,0,Aprovado,2038,0,640,647
195,128,59290000,2014,1,ATIVO,2014,2,7.7,0,Aprovado,1983,0,520,612
196,129,59123700,2014,1,ATIVO,2014,2,6.6,0,Aprovado,671,0,560,549
197,130,59110400,2014,1,ATIVO,2014,2,4.4,0,Reprovado,2149,0,600,655
198,130,59110400,2014,1,ATIVO,2015,1,5.6,0,Aprovado,2149,0,600,655
199,131,59310000,2014,1,ATIVO,2014,2,6,0,Aprovado,2074,0,640,635
200,132,59064230,2014,1,ATIVO,2014,2,0.5,0,Reprovado,1946,0,720,625
201,132,59064230,2014,1,ATIVO,2015,1,2.5,0,Reprovado,1946,0,720,625
202,132,59064230,2014,1,ATIVO,2015,2,2.9,0,Reprovado,1946,0,720,625
